Course Name,Why it's worthy,Target Audience
[DONE] Advanced RAG with pgvector & Hybrid Search,Most RAG tutorials stop at naive embedding lookup — this covers re-ranking and query decomposition for production retrieval.,Backend & AI Engineers building search systems
[DONE] Writing Custom LLM Evaluators,No one teaches how to build structured AI grading that rejects nonsense — this fills that gap.,Ed-Tech Developers & Prompt Engineers
[DONE] Local LLM Inference (GGUF & llama.cpp),Running and serving quantized models on consumer GPUs is a practical skill most tutorials skip entirely.,AI Tinkerers & Systems Engineers
[DONE] Type-Safe Full-Stack with Next.js & FastAPI,The Python-backend-plus-TypeScript-frontend combo is the standard AI stack but bridging types between them is painful.,Full-Stack Developers
[DONE] Supabase Row Level Security Deep Dive,Most devs leave Postgres RLS wide open because it's hard to test — this is a pure database security masterclass.,Backend & Full-Stack Developers & Indie Hackers
[DONE] Distributed Consensus: Implementing Raft,Raft is how etcd and CockroachDB stay consistent — understanding it changes how you think about infrastructure.,Distributed Systems Engineers
[DONE] Writing eBPF Programs for Linux Observability,Lets you instrument a running kernel without crashing it — the future of production debugging.,DevOps & Platform Engineers
[DONE] LLM Inference Optimization (KV Cache & Batching),Covers the full stack of making LLMs fast: KV-cache management and continuous batching and PagedAttention.,ML Ops & AI Infrastructure Engineers
[DONE] Custom Shaders in React Three Fiber,The only way to make 3D web experiences that don't look like every other Three.js demo.,Frontend & Creative Developers
[DONE] WebAssembly Beyond the Browser,Wasm is eating server-side compute too (Spin & Wasmtime) — most devs only know the browser story.,Systems Engineers & Cloud Developers
[DONE] State Machines for Complex UI (XState),Eliminates impossible states and tangled boolean logic in forms and multi-step flows.,Frontend Engineers building complex tools
[DONE] Crafting DSLs (Domain Specific Languages) in Python,Teaches lexing and parsing and ASTs in a very accessible way.,Python Developers & Language Nerds
[DONE] Rust FFI: Calling C from Rust Safely,The practical bridge between Rust's safety guarantees and the enormous C library ecosystem.,Systems Programmers
[DONE] Real-time Collaboration with CRDTs,The data structures behind Google Docs and Figma multiplayer — no central server required.,Full-Stack & Collaborative App Devs
[DONE] Building Custom Kubernetes Operators in Go,The standard way to extend Kubernetes with domain-specific automation.,Platform & Site Reliability Engineers
[DONE] Zero-Knowledge Proofs: From Theory to Circom,Covers the math and then builds a working circuit — not just hand-waving about privacy.,Cryptography & Web3 Developers
[DONE] WebGPU: Next-Gen Browser Graphics,WebGL's successor with compute shaders — very few developers know it yet.,Graphics Programmers & Game Devs
[DONE] Edge Computing with Cloudflare Workers,Understanding V8 isolates and the constraints of running code at the network edge.,Cloud Architects & Full-Stack Devs
[DONE] Advanced PostgreSQL: Indexing Strategies (GIN & GiST & BRIN),Knowing when to use each index type is the difference between a 2ms query and a 2s query.,Database Administrators & Backend Devs
[DONE] Multi-Agent Orchestration Patterns,How to coordinate multiple AI agents without them talking past each other or looping forever.,AI Engineers
[DONE] Building Neovim Plugins in Lua,Neovim's Lua API is clean and powerful but poorly documented outside of source code.,Developer Productivity Enthusiasts
[DONE] V8 Engine Internals: Hidden Classes & JIT,Understanding why some JS patterns are 10x slower than others.,Performance-Focused JS Developers
[DONE] Implementing OAuth2 and OIDC from Scratch,Most devs cargo-cult auth libraries — this teaches what the tokens actually mean.,Security & Backend Engineers
[DONE] Building Custom GitHub Actions,Lets you automate anything in your CI pipeline with TypeScript or Docker containers.,DevOps Engineers
[DONE] Structured Output & Tool Calling for AI Agents,Reliable JSON extraction and function calling is the backbone of every production AI agent.,AI Application Developers
[DONE] Semantic Design Tokens & Themeable UI Systems,How to build a design system that supports dark mode and white-labeling without duplicating CSS.,UI/UX Designers & Frontend Devs
[DONE] Network Programming: Building a TCP Stack,Writing a TCP implementation teaches you more about networking than any textbook.,Network Engineers & CS Students
[DONE] Fine-tuning Vision-Language Models,Adapting models like LLaVA or PaliGemma for domain-specific visual understanding tasks.,Machine Learning Engineers
[DONE] Android Security: APK Reverse Engineering,Decompiling and patching Android apps exposes the reality of mobile security.,Mobile Security Analysts
[DONE] Physics-Informed Neural Networks (PINNs),Embedding differential equations into loss functions produces models that obey physical laws.,Scientific Computing Researchers
[DONE] Implementing B-Trees and LSM Trees from Scratch,The two fundamental storage engine designs — understanding them demystifies every database.,Database & Storage Engineers
[DONE] Graph Neural Networks for Drug Discovery,GNNs on molecular graphs are how modern pharma screens billions of compounds.,Bioinformatics & ML Researchers
[DONE] WebRTC: Peer-to-Peer Video from Scratch,Covers STUN/TURN signaling and ICE negotiation — the hard parts everyone skips.,Real-Time Communication Developers
[DONE] Applied Homomorphic Encryption,Computing on encrypted data without decryption is no longer theoretical — libraries like SEAL make it practical.,Privacy Engineers & Cryptography Devs
[DONE] Git Internals: Objects & Plumbing Commands,Understanding the content-addressable object store changes how you debug merge conflicts forever.,Any Developer who uses Git daily
